Episode,Average_Reward,Travel_Time,Time_to_Collision,Distance_to_Collision,Success,Average_Speed,Affected_Followers,Avg_Deceleration
1,-1.1265761658030973,96.5,,,True,1.329752469095823,1,1.9575343415498914
2,-0.8777265774378488,52.300000000000004,,,True,2.4518026173616567,2,1.4597948029387187
3,-1.0244034090909102,88.0,,,True,1.456860386716884,2,1.233782661334688
4,-0.8166144927536262,34.5,,,True,3.7175470791623018,1,0.5660710487881104
5,-1.1695661896243212,111.80000000000001,,,True,1.1452953215024086,0,0.0
6,-1.2085770804911289,73.3,,,True,1.7477886900344324,0,0.0
7,-0.9694002713704118,73.7,,,True,1.7403411898089205,0,0.0
8,-1.0061034965034785,71.5,,,True,1.792359069653106,1,1.5654795886738482
9,-0.999642346208869,69.9,,,True,1.8357509469076074,0,0.0
10,-1.3816967509025302,27.700000000000003,27.6,29.046253323804137,False,1.0543290799974883,0,0.0
11,-1.0696118326118365,69.3,,,True,1.4272527587137196,0,0.0
12,-1.0488925184404603,94.9,,,True,1.3519033204224669,1,1.6759990857671259
13,-1.0435631720430147,74.4,,,True,1.7246167057695596,0,0.0
14,-1.0129999999999975,64.8,,,True,1.9795211452469617,1,0.5477224455913721
15,-1.0526108179419593,75.8,,,True,1.6885446567320403,0,0.0
16,-1.0075768072289069,66.4,,,True,1.9271884068829332,1,0.8215205530073622
17,-0.9564510489510516,57.2,,,True,2.242989819009097,0,0.0
18,-0.9483088552915763,46.300000000000004,,,True,2.7708789550126625,0,0.0
19,-1.1196263096624015,85.9,,,True,1.4909625526703816,1,1.0971681634828556
20,-0.9288045774647864,56.800000000000004,,,True,2.2536175505595,0,0.0
21,-2.3571506849315065,7.300000000000001,7.2,13.687131150012517,False,1.9179005756750251,0,0.0
22,2.3378326530612226,24.5,,,True,4.658209915262814,0,0.0
23,-0.9408954758190377,64.10000000000001,,,True,1.9964240053830278,1,0.6682547095348212
24,-0.9516743772242048,56.2,,,True,2.280298659272183,3,1.0998289881066252
25,-1.0264134165366632,64.10000000000001,,,True,1.9973928857046988,0,0.0
26,-0.517959770114943,34.800000000000004,,,True,3.6851940112686137,2,0.9391814529995868
27,-1.1681332236842044,60.800000000000004,,,True,2.1067353744557766,1,1.1186271928762093
28,-1.0560482686253878,95.30000000000001,,,True,1.345991812253645,1,0.5677226561976134
29,-0.960744107744108,59.400000000000006,,,True,2.15371526071746,1,1.368851594030711
30,-1.0518463035019494,102.80000000000001,,,True,1.24775064896638,1,0.8980687310272462
31,-1.0188114754098307,85.4,,,True,1.501818849906583,1,1.1512453867719064
32,-1.32426112185687,51.7,51.6,72.7730879073072,False,1.412877231145698,0,0.0
33,-1.0860000000000043,19.5,,,True,2.831073830693947,1,0.984797900016936
34,-0.6892708860759497,39.5,,,True,3.2410317583068315,0,0.0
35,-0.9993456221198177,65.10000000000001,,,True,1.9699877330978672,0,0.0
36,-0.9129112426035455,67.60000000000001,,,True,1.8947884820265626,0,0.0
37,-1.1238099808061341,52.1,,,True,2.460640612128242,0,0.0
38,-0.9398527272727322,55.0,,,True,2.332968999673202,2,0.6583783744903982
39,-1.155664959016374,97.60000000000001,,,True,1.3137353804988205,2,0.8049297147241496
40,-1.0380181818181822,99.0,,,True,1.2935129046847895,0,0.0
41,-1.0954131455399099,42.6,,,True,3.0007486334502214,1,1.384283456991895
42,-0.9966643356643278,71.5,,,True,1.7913657616119474,2,1.695613608896669
43,-0.9688351893095802,44.900000000000006,,,True,2.851261168928459,1,0.7057364901582996
44,-1.472663677130041,44.6,44.5,66.54040124346042,False,1.4950890114969844,0,0.0
45,0.8215226337448542,24.3,,,True,2.506381464670735,0,0.0
46,-1.0349273584905663,106.0,,,True,1.209365205390528,1,1.0814652447813522
47,-1.1487008196721278,48.800000000000004,,,True,2.6269843427292128,2,0.7628346517954787
48,-1.0198871595330747,77.10000000000001,,,True,1.6631419758900512,2,1.0743870223290886
49,-0.935821497120911,52.1,,,True,2.458018617291941,1,2.0460212491603347
50,-1.0264548494983274,59.800000000000004,47.300000000000004,68.84893023976488,False,2.1388114432993435,2,0.9673594077973879
51,-1.0444017305315079,80.9,,,True,1.579918540340118,0,0.0
52,0.5237116279069792,43.0,,,True,2.969988617631213,1,2.180459437863931
53,-1.089559907834102,86.80000000000001,,,True,1.47732327668381,2,1.0044848402809081
54,-1.044235772357728,110.7,,,True,1.1586433541175416,1,0.6839299851090397
55,-2.0429062499999997,9.600000000000001,9.5,3.727278325305666,False,0.39410117978200176,0,0.0
56,-1.0971170886076045,94.80000000000001,,,True,1.3134784258163852,0,0.0
57,-1.0238902589395877,81.10000000000001,,,True,1.579480390154529,1,0.828168307941004
58,-0.9761329479768808,86.5,,,True,1.4808468130037737,2,0.9894270734875876
59,-1.196950549450552,54.6,,,True,2.3466303223436173,1,0.5000781211412697
60,-0.8972531194295973,56.1,,,True,2.2823992948066287,0,0.0
61,-0.9841156004489386,89.10000000000001,,,True,1.4378484747583946,2,1.1088491986525684
62,1.649261603375527,23.700000000000003,,,True,5.373459570515663,0,0.0
63,-0.8914524236983782,55.7,,,True,2.2970657076516674,0,0.0
64,-1.0665192307692362,52.0,,,True,2.4676616711101667,2,0.6562985164552304
65,-1.1250063025210135,95.2,,,True,1.3477669357314674,2,2.092979618912727
66,-1.9642912621359219,10.3,10.200000000000001,17.432516515798806,False,1.724863263568208,0,0.0
67,-0.9843483535528605,57.7,,,True,1.9096169093332573,1,0.5112142968014588
68,-1.014003252032511,61.5,,,True,2.0852807227996752,3,1.07576434350895
69,-0.9314008016032124,49.900000000000006,,,True,2.56919923395642,2,1.2965289894720478
70,-0.9561053811659148,44.6,,,True,2.8717757600466127,0,0.0
71,-1.0459178807947147,75.5,,,True,1.6944864749946502,0,0.0
72,-1.1036761565836388,56.2,,,True,2.279935099270169,1,0.9029097031986799
73,-1.1477495291902045,53.1,,,True,2.41298761556911,0,0.0
74,0.7765863453815269,24.900000000000002,,,True,5.122794221749937,1,0.569015080539863
75,-1.1204554216867604,83.0,,,True,1.5458609029879316,3,0.8609271555137147
