Episode,Average_Reward,Travel_Time,Time_to_Collision,Distance_to_Collision,Success,Average_Speed,Affected_Followers,Avg_Deceleration
1,-0.5363636363636364,44.0,,,True,2.6474353347387716,2,0.43279264009557394
2,-6.530973451327434,11.3,4.4,76.23840322390193,False,10.237728059964157,2,1.507646667988447
3,1.5447154471544715,12.3,,,True,9.411823628805864,1,1.379855019660745
4,-5.455882352941177,6.800000000000001,4.5,77.27956635952846,False,16.8420190805845,1,2.4750604383239327
5,0.78125,19.200000000000003,,,True,6.045406161375995,1,0.8236887715824359
6,-0.35260115606936415,17.3,,,True,6.70759693207052,2,0.34013484239542535
7,-1.3941605839416058,27.400000000000002,8.8,75.89716344326548,False,4.239965102567012,2,0.3242595819797378
8,2.712230215827338,13.9,,,True,8.333764214106825,0,0.0
9,1.2043795620437956,13.700000000000001,,,True,8.460137319859951,1,0.9876678077971146
10,-2.3015873015873014,6.300000000000001,4.3,78.67705179819956,False,18.096447210311904,0,0.0
11,-1.1666666666666667,7.2,5.0,78.50809340357944,False,15.961529902204468,1,1.0688183951251595
12,1.096,12.5,,,True,9.235899065142824,2,0.7459377072973705
13,1.1515151515151516,6.6000000000000005,,,True,17.31261981360636,2,0.5628091787331169
14,1.2622950819672132,12.200000000000001,,,True,9.448378435363443,0,0.0
15,1.7666666666666666,12.0,,,True,9.587362619733806,2,0.3890359407071742
16,-2.959349593495935,12.3,7.300000000000001,76.28269601870383,False,9.396575124734396,2,0.6907380840005661
17,5.457364341085271,12.9,,,True,8.958916240925452,1,0.36153849577724273
18,2.0526315789473686,13.3,,,True,8.676723861161225,2,0.8537866345417378
19,-4.554621848739496,11.9,7.5,76.20906457685267,False,9.694680936448606,3,0.34048940172364855
20,4.62406015037594,13.3,,,True,8.702536370664985,3,0.1548636186014818
21,-2.906474820143885,13.9,7.1000000000000005,76.21563807638562,False,8.339998063866622,3,0.702051678993163
22,4.3628318584070795,11.3,,,True,10.161565372106217,2,0.37395119437448887
23,1.3272727272727274,11.0,,,True,10.506647114987157,0,0.0
24,2.9166666666666665,8.4,,,True,13.681096418066542,1,0.04454427680466111
25,3.518181818181818,11.0,,,True,10.45599004630736,2,0.7579902143002659
26,0.04482758620689655,29.0,,,True,4.009425193944261,3,0.16000447842214438
27,-0.5475285171102662,26.3,,,True,4.412082065630998,2,0.15630239125936862
28,5.7272727272727275,13.200000000000001,,,True,8.759136144599383,0,0.0
29,-1.8761904761904762,21.0,8.0,76.13040526340644,False,5.533087741976129,3,0.6875509266031621
30,-1.8355263157894737,15.200000000000001,7.7,76.01069427198684,False,7.627735567797987,1,0.08529349377467632
31,0.47560975609756095,16.400000000000002,,,True,7.074237009308387,3,0.32051032812351704
32,3.5267857142857144,11.200000000000001,,,True,10.255084211448562,0,0.0
33,0.7777777777777778,12.600000000000001,,,True,9.192469954108004,1,0.07453282463830035
34,-8.045454545454545,6.6000000000000005,4.3,76.48234162712859,False,17.32400469422588,2,2.3091883269953506
35,-3.04,17.5,9.8,76.1398196673592,False,6.622278392156548,3,0.9104104999809722
36,-1.8641304347826086,18.400000000000002,8.0,75.91389724717958,False,6.287339305610994,2,1.2134206214784848
37,0.8823529411764706,11.9,,,True,9.685014350624709,0,0.0
38,0.8959537572254336,17.3,,,True,6.699791784638747,1,0.8346477389889717
39,2.078125,12.8,,,True,9.037332684212755,2,0.3460303537656495
40,-6.506849315068493,7.300000000000001,4.6000000000000005,76.60797027175586,False,15.637327473068282,0,0.0
41,4.817391304347826,11.5,,,True,10.061976544760565,2,0.4709231954888349
42,1.63013698630137,7.300000000000001,,,True,15.688527817221454,1,1.0979957805182572
